user_id,edad,genero,nivel_ingresos,nivel_educativo,intereses,tipo_suscripcion,categoria_cliente,ubicacion,dispositivo,frecuencia_login
1,60,No Binario,Alto,Postgrado,Nutrición,Premium,Oro,Rural,Móvil,Mensual
2,50,No Binario,Medio,Secundaria,Deportes,Free,Oro,Rural,Tablet,Diaria
3,62,Masculino,Bajo,Postgrado,Mascotas,Free,Plata,Suburbio,Tablet,Diaria
4,46,Femenino,Medio,Postgrado,Deportes,VIP,Oro,Suburbio,Móvil,Mensual
5,37,Prefiero no decir,Medio,Secundaria,Nutrición,Free,Plata,Suburbio,Móvil,Diaria
6,37,No Binario,Bajo,Doctorado,Salud,Premium,Plata,Rural,PC,Diaria
7,34,Masculino,Alto,Postgrado,Salud,Free,Plata,Ciudad,PC,Semanal
8,40,Femenino,Bajo,Postgrado,"Desarrollo Personal, Deportes",Premium,Plata,Suburbio,Móvil,Semanal
9,21,Femenino,Medio,Doctorado,"Mascotas, Bienestar Mental, Desarrollo Personal",Free,Oro,Suburbio,Móvil,Mensual
10,60,Prefiero no decir,Alto,Secundaria,Familia,VIP,Oro,Rural,Tablet,Mensual
11,44,No Binario,Alto,Secundaria,"Salud, Nutrición, Mascotas",Premium,Plata,Ciudad,PC,Mensual
12,47,Masculino,Medio,Doctorado,"Deportes, Salud",VIP,Plata,Suburbio,Tablet,Semanal
13,44,Prefiero no decir,Medio,Secundaria,"Salud, Bienestar Mental, Nutrición",Free,Plata,Suburbio,Tablet,Mensual
14,61,No Binario,Medio,Universidad,"Desarrollo Personal, Salud, Deportes",Free,Bronce,Rural,Tablet,Diaria
15,30,Femenino,Alto,Universidad,"Salud, Nutrición",Free,Oro,Ciudad,PC,Semanal
16,27,Masculino,Medio,Doctorado,Mascotas,Premium,Bronce,Suburbio,Tablet,Semanal
17,55,Prefiero no decir,Alto,Universidad,Nutrición,Free,Bronce,Suburbio,PC,Mensual
18,22,No Binario,Bajo,Postgrado,Nutrición,VIP,Bronce,Ciudad,Móvil,Mensual
19,39,Femenino,Bajo,Doctorado,"Mascotas, Familia, Nutrición",Premium,Plata,Ciudad,Tablet,Diaria
20,38,Prefiero no decir,Medio,Universidad,Desarrollo Personal,VIP,Bronce,Ciudad,PC,Mensual
21,30,No Binario,Alto,Postgrado,"Familia, Bienestar Mental",Premium,Plata,Rural,PC,Mensual
22,55,Femenino,Alto,Postgrado,"Familia, Salud",VIP,Oro,Rural,PC,Semanal
23,53,Masculino,Medio,Secundaria,"Salud, Deportes",VIP,Bronce,Rural,Tablet,Diaria
24,64,Prefiero no decir,Alto,Secundaria,Mascotas,Free,Bronce,Rural,Móvil,Semanal
25,19,Prefiero no decir,Bajo,Secundaria,Nutrición,Premium,Plata,Ciudad,Móvil,Diaria
26,31,Femenino,Alto,Secundaria,"Salud, Deportes, Mascotas",Premium,Plata,Rural,PC,Diaria
27,34,Femenino,Alto,Postgrado,"Bienestar Mental, Salud",Free,Bronce,Rural,PC,Diaria
28,58,No Binario,Alto,Secundaria,Salud,Premium,Bronce,Rural,Móvil,Diaria
29,41,Femenino,Bajo,Doctorado,Familia,Premium,Oro,Suburbio,Tablet,Mensual
30,50,No Binario,Medio,Universidad,Nutrición,Premium,Bronce,Suburbio,Tablet,Diaria
31,63,No Binario,Medio,Postgrado,Mascotas,Premium,Plata,Rural,Móvil,Semanal
32,55,Femenino,Bajo,Postgrado,"Nutrición, Deportes, Salud",Premium,Oro,Ciudad,Móvil,Semanal
33,55,Femenino,Alto,Postgrado,"Deportes, Nutrición, Bienestar Mental",Premium,Plata,Ciudad,Tablet,Diaria
34,22,Femenino,Bajo,Doctorado,Desarrollo Personal,VIP,Oro,Rural,Tablet,Mensual
35,38,No Binario,Medio,Doctorado,"Familia, Nutrición, Salud",VIP,Bronce,Suburbio,Tablet,Diaria
36,44,Femenino,Bajo,Doctorado,Salud,Free,Oro,Ciudad,Móvil,Diaria
37,50,Masculino,Medio,Doctorado,Deportes,Free,Oro,Ciudad,Tablet,Semanal
38,32,No Binario,Alto,Universidad,Desarrollo Personal,Premium,Bronce,Ciudad,Móvil,Mensual
39,22,Femenino,Alto,Universidad,"Nutrición, Deportes, Familia",VIP,Plata,Rural,Móvil,Diaria
40,23,Masculino,Alto,Secundaria,"Bienestar Mental, Salud",Free,Bronce,Ciudad,PC,Diaria
41,62,Prefiero no decir,Alto,Universidad,"Familia, Mascotas, Nutrición",Premium,Plata,Rural,Móvil,Mensual
42,47,Masculino,Medio,Universidad,"Familia, Mascotas, Nutrición",Premium,Bronce,Rural,Móvil,Mensual
43,26,No Binario,Medio,Secundaria,"Bienestar Mental, Nutrición",VIP,Oro,Rural,PC,Diaria
44,58,No Binario,Medio,Universidad,"Familia, Salud, Nutrición",Free,Oro,Suburbio,Tablet,Semanal
45,28,Prefiero no decir,Alto,Doctorado,"Mascotas, Familia",VIP,Oro,Suburbio,PC,Diaria
46,57,Femenino,Medio,Postgrado,"Bienestar Mental, Familia",VIP,Bronce,Rural,Tablet,Semanal
47,27,Masculino,Medio,Universidad,Salud,VIP,Plata,Rural,Móvil,Diaria
48,24,Femenino,Alto,Secundaria,Familia,Free,Oro,Rural,PC,Mensual
49,28,Femenino,Medio,Postgrado,"Familia, Salud",Free,Bronce,Suburbio,Tablet,Diaria
50,18,Prefiero no decir,Bajo,Universidad,Familia,Premium,Bronce,Ciudad,Móvil,Semanal
51,48,Masculino,Bajo,Secundaria,"Salud, Bienestar Mental, Deportes",Premium,Plata,Rural,Tablet,Diaria
52,61,Femenino,Bajo,Doctorado,Bienestar Mental,Premium,Plata,Ciudad,Móvil,Diaria
53,42,No Binario,Medio,Secundaria,"Salud, Desarrollo Personal, Mascotas",Premium,Oro,Ciudad,Móvil,Diaria
54,18,Femenino,Alto,Postgrado,"Mascotas, Nutrición",Premium,Plata,Rural,Tablet,Mensual
55,19,Masculino,Medio,Doctorado,Mascotas,VIP,Plata,Rural,Móvil,Semanal
56,25,Masculino,Bajo,Doctorado,"Mascotas, Salud",VIP,Oro,Ciudad,PC,Diaria
57,59,No Binario,Alto,Postgrado,"Nutrición, Bienestar Mental, Desarrollo Personal",Free,Bronce,Suburbio,PC,Diaria
58,27,Prefiero no decir,Bajo,Postgrado,Deportes,VIP,Bronce,Suburbio,Móvil,Mensual
59,50,No Binario,Medio,Secundaria,"Mascotas, Bienestar Mental, Nutrición",Premium,Plata,Rural,Tablet,Diaria
60,22,Prefiero no decir,Medio,Universidad,Desarrollo Personal,VIP,Oro,Suburbio,Móvil,Diaria
61,39,No Binario,Medio,Universidad,"Bienestar Mental, Desarrollo Personal, Nutrición",VIP,Oro,Ciudad,PC,Semanal
62,54,Prefiero no decir,Alto,Secundaria,"Desarrollo Personal, Familia, Deportes",Premium,Bronce,Ciudad,Tablet,Semanal
63,43,Femenino,Alto,Postgrado,Familia,Free,Oro,Ciudad,Móvil,Semanal
64,34,Masculino,Bajo,Secundaria,"Mascotas, Nutrición",Premium,Oro,Ciudad,Tablet,Diaria
