user_id,genero,intereses,edad_category
1,No Binario,Nutrición,54-65
2,No Binario,Deportes,42-53
3,Masculino,Mascotas,54-65
4,Femenino,Deportes,42-53
5,Prefiero no decir,Nutrición,30-41
6,No Binario,Salud,30-41
7,Masculino,Salud,30-41
8,Femenino,"Desarrollo Personal, Deportes",30-41
9,Femenino,"Mascotas, Bienestar Mental, Desarrollo Personal",18-29
10,Prefiero no decir,Familia,54-65
11,No Binario,"Salud, Nutrición, Mascotas",42-53
12,Masculino,"Deportes, Salud",42-53
13,Prefiero no decir,"Salud, Bienestar Mental, Nutrición",42-53
14,No Binario,"Desarrollo Personal, Salud, Deportes",54-65
15,Femenino,"Salud, Nutrición",30-41
16,Masculino,Mascotas,18-29
17,Prefiero no decir,Nutrición,54-65
18,No Binario,Nutrición,18-29
19,Femenino,"Mascotas, Familia, Nutrición",30-41
20,Prefiero no decir,Desarrollo Personal,30-41
21,No Binario,"Familia, Bienestar Mental",30-41
22,Femenino,"Familia, Salud",54-65
23,Masculino,"Salud, Deportes",42-53
24,Prefiero no decir,Mascotas,54-65
25,Prefiero no decir,Nutrición,18-29
26,Femenino,"Salud, Deportes, Mascotas",30-41
27,Femenino,"Bienestar Mental, Salud",30-41
28,No Binario,Salud,54-65
29,Femenino,Familia,30-41
30,No Binario,Nutrición,42-53
31,No Binario,Mascotas,54-65
32,Femenino,"Nutrición, Deportes, Salud",54-65
33,Femenino,"Deportes, Nutrición, Bienestar Mental",54-65
34,Femenino,Desarrollo Personal,18-29
35,No Binario,"Familia, Nutrición, Salud",30-41
36,Femenino,Salud,42-53
37,Masculino,Deportes,42-53
38,No Binario,Desarrollo Personal,30-41
39,Femenino,"Nutrición, Deportes, Familia",18-29
40,Masculino,"Bienestar Mental, Salud",18-29
41,Prefiero no decir,"Familia, Mascotas, Nutrición",54-65
42,Masculino,"Familia, Mascotas, Nutrición",42-53
43,No Binario,"Bienestar Mental, Nutrición",18-29
44,No Binario,"Familia, Salud, Nutrición",54-65
45,Prefiero no decir,"Mascotas, Familia",18-29
