user_id,product_id,tipo_interaccion,nuevo_rating,index
4915,84,Valoracion,1.0,15
1695,1033,Valoracion,1.0,8
3584,1508,Comentario,1.0,8
74,227,Comentario,1.0,10
2105,286,Valoracion,0.0,11
2144,1230,Valoracion,1.0,5
4851,1669,Valoracion,0.5,3
4347,172,Valoracion,0.75,4
2268,463,Valoracion,0.5,2
744,946,Comentario,1.0,11
1938,1607,Comentario,1.0,3
3742,839,Comentario,1.0,3
37,982,Comentario,1.0,1
2094,1254,Comentario,1.0,12
3352,232,Comentario,1.0,6
3465,804,Valoracion,1.0,4
2960,1188,Valoracion,0.75,9
4352,552,Comentario,1.0,10
2925,640,Valoracion,0.5,6
3430,1570,Comentario,1.0,6
921,1434,Comentario,1.0,14
4869,421,Comentario,0.0,9
2658,800,Valoracion,0.25,3
4645,772,Valoracion,0.75,12
1382,1677,Valoracion,0.25,12
2615,25,Comentario,0.0,10
2990,1708,Comentario,0.5,3
1875,1907,Valoracion,0.5,11
4070,826,Valoracion,0.5,11
1463,1383,Valoracion,0.25,10
211,1472,Valoracion,0.25,9
2249,487,Valoracion,0.5,2
1372,680,Valoracion,0.0,5
1305,127,Valoracion,0.25,1
2118,1187,Valoracion,0.75,10
4037,1041,Comentario,1.0,3
2287,632,Valoracion,0.0,9
1077,1363,Valoracion,0.25,14
3524,912,Comentario,0.5,2
1945,1379,Valoracion,1.0,15
612,852,Comentario,1.0,1
357,1695,Comentario,0.5,6
3437,22,Valoracion,0.75,9
4427,1178,Valoracion,0.25,10
4121,541,Comentario,0.5,1
1422,117,Valoracion,0.75,14
1936,204,Valoracion,0.5,5
271,1546,Comentario,1.0,9
2958,126,Comentario,0.5,9
3460,1661,Valoracion,0.5,3
3657,1403,Valoracion,0.25,5
3754,1710,Valoracion,0.25,2
4280,279,Comentario,0.5,13
4296,485,Valoracion,1.0,15
4785,84,Valoracion,0.5,15
436,1466,Comentario,0.5,10
1397,579,Valoracion,0.5,11
3485,1171,Comentario,1.0,7
1152,931,Comentario,0.5,2
1579,979,Valoracion,0.75,8
3939,567,Valoracion,0.75,10
1223,503,Valoracion,0.5,4
